idFrameElement,frameName,name,coreType,description
11032,Fire_going_out,Time,cty_peripheral,It identifies the #Time when the #Fire goes out.
11034,Fire_going_out,Degree,cty_peripheral,It describes the how near the #Fire is to going out.
11021,Fire_stopping_scenario,Agent,cty_core,The individual or group that causes the #Fire to no longer burn.
11022,Fire_stopping_scenario,Fire,cty_core,The combustion process that the #Agent causes to end.
11019,Fire_stopping_scenario,Place,cty_peripheral,It identifies the #Place where the #Agent puts out the #Fire.
11020,Fire_stopping_scenario,Time,cty_peripheral,It identifies the #Time when the #Fire goes out.
11023,Fire_stopping_scenario,Degree,cty_peripheral,It describes the how near the #Agent is to putting out the #Fire.
3140,Firing,Employee,cty_core,The person who is let go by their #Employer.
3141,Firing,Employer,cty_core,The person (or institution) that end an employment relationship with an #Employee.
3144,Firing,Position,cty_core,The label given to a particular type of employment.
3146,Firing,Task,cty_core,"The action that the #Employee is relieved from doing for the #Employer

.<ex>I was <t>fired</t> <fex name=""Task"">from training the new actors</fex>.</ex>"
3142,Firing,Manner,cty_peripheral,It identifies the #Manner in which an #Employer fires an #Employee.
3143,Firing,Place,cty_peripheral,It identifies the #Place where the #Employer fires the #Employee.
3145,Firing,Purpose,cty_peripheral,It identifies the #Purpose for which an #Employer fires the #Employee.
3147,Firing,Time,cty_peripheral,It identifies the #Time when an #Employer fires the #Employee.
3149,Firing,Means,cty_peripheral,The means whereby the #Employer fires the #Employee.
10492,Firing_point,Firing_point,cty_core,The location from which the #Detonator activates an explosive device.
10493,Firing_point,Relative_location,cty_peripheral,A place that a #Firing_point is located with respect to.
10496,Firing_point,Detonator,cty_peripheral,The #Detonator is located at the #Firing_point when he or she activates the explosive device.
5113,First_experience,Experience,cty_core,An event happens for the first time within the #Context.
5114,First_experience,Context,cty_peripheral,"A spatial, cultural, or personal delimitation within which the #Experience occurs for the first time."
3825,First_rank,Item,cty_core,An #Item is the foremost thing in the #Contrast_set.
3826,First_rank,Limits_of_consideration,cty_core,It identifies the domain (usually temporally or spatially defined) within which the #Item is primary among its kind.
3827,First_rank,Contrast_set,cty_core,The #Contrast_set is a group of entities similar to the #Item out of which the #Item is the most preeminent.
3828,First_rank,Attribute,cty_peripheral,The #Attribute of the #Item which is under consideration.
7497,Fleeing,Self_mover,cty_core,It is the living (or self-directed) being which moves under its own power.
7498,Fleeing,Source,cty_core,It is used for any expression which implies a definite starting-point of motion.
7499,Fleeing,Path,cty_core,It is used for any description of a trajectory of motion involving a landmark which is neither a #Source nor a #Goal.
7500,Fleeing,Goal,cty_core,It is used for any expression which tells where the #Self_mover ends up as a result of the motion.
7515,Fleeing,Direction,cty_core,The direction that the #Self_mover heads in during the motion.
7501,Fleeing,Manner,cty_peripheral,"An expression which describes a property of motion which is not directly related to the trajectory or rate of motion. Descriptions of steadiness, grace, means of motion, and other things count as #Manner expressions."
7502,Fleeing,Distance,cty_peripheral,Any expression which characterizes the extent of motion expresses the #Distance.
7503,Fleeing,Time,cty_peripheral,The time when the motion occurs.
7505,Fleeing,Speed,cty_peripheral,The rate at which the location of the #Self_mover changes with respect to time.
7507,Fleeing,Means,cty_peripheral,An act whereby the #Self_mover achieves movement.
7510,Fleeing,Duration,cty_peripheral,The amount of time for which the #Self_mover moves.
7511,Fleeing,Purpose,cty_peripheral,It identifies the purpose for which a #Self_mover moves.
7512,Fleeing,Place,cty_peripheral,"The #Place is the location within which a defined motion takes place.  Any specified or implied  #Source, #Path or #Goal should designate a location contained with the #Place."
7513,Fleeing,Explanation,cty_peripheral,The state of affairs that leads to the particular motion that the #Self_mover adopts.
3338,Fluidic_motion,Area,cty_core,It is the setting in which the #Fluid s movement takes place on an unspecified #Path.
3341,Fluidic_motion,Goal,cty_core,It is the location the #Fluid ends up.
3342,Fluidic_motion,Path,cty_core,The #Path is the trajectory along which the #Fluid moves.
3343,Fluidic_motion,Source,cty_core,The #Source is the location the #Fluid occupies initially.
3345,Fluidic_motion,Fluid,cty_core,The #Fluid is the entity that changes location and moves in a fluidic way.
3339,Fluidic_motion,Distance,cty_peripheral,It describes the physical extent of the motion of the #Fluid.
3340,Fluidic_motion,Duration,cty_peripheral,The amount of time for which the #Fluid moves.
3344,Fluidic_motion,Speed,cty_peripheral,This is the rate at which the #Fluid flows.
3346,Fluidic_motion,Time,cty_peripheral,The #Time when the #Fluid flows.
3348,Fluidic_motion,Manner,cty_peripheral,The #Manner in which the #Fluid flows.
3352,Fluidic_motion,Place,cty_peripheral,"It describes the location of the motion which has a specified #Source, #Path or #Goal."
2665,Food,Food,cty_core,The type of foods and drinks.
2663,Food,Descriptor,cty_peripheral,It indicates a characteristic or description of the food. 
2664,Food,Type,cty_peripheral,It identifies a particular #Type of the food item.
