idFrameElement,frameName,name,coreType,description,Role+AF8-Type
13517,Activity+AF8-teaching,Students,cty+AF8-core,Students,Unclassified
13518,Activity+AF8-teaching,Topic,cty+AF8-core,Topic,Path/Location
13519,Activity+AF8-teaching,Subject,cty+AF8-core,Subject,Participant
13515,Activity+AF8-teaching,Classroom,cty+AF8-peripheral,Classroom,Unclassified
13520,Activity+AF8-teaching,Duration,cty+AF8-peripheral,Duration,Path/Location
13521,Activity+AF8-teaching,Type,cty+AF8-peripheral,Type,Unclassified
13522,Activity+AF8-teaching,Level,cty+AF8-peripheral,Level,Unclassified
13543,Activity+AF8-teaching,Goal,cty+AF8-peripheral,Goal,Goal/Result
13544,Activity+AF8-teaching,Way,cty+AF8-peripheral,Way,Manner/Means
13548,Activity+AF8-teaching,Place,cty+AF8-peripheral,Place,Path/Location
13549,Activity+AF8-teaching,Time,cty+AF8-peripheral,Time,Time/Duration
6925,Actually+AF8-occurring+AF8-entity,Instance,cty+AF8-core,+ACI-The real+AC0-world individual, a concrete or abstract thing or an event, which differs from its counterpart in a discourse+AC0-salient non+AC0-real world.+ACI-,Unclassified
6926,Actually+AF8-occurring+AF8-entity,Type,cty+AF8-core,+ACI-A kind of entity, instances of which are expected to occur in both the real and the non+AC0-real world.+ACI-,Path/Location
2079,Addiction,Addict,cty+AF8-core,The +ACM-Addict is physiologically or psychologically dependent on a substance or a behavior.,Unclassified
